# onda cinemática
15.00000000	15.00000000	15.00000000	15.00000000	15.00000000	15.00000000	15.00000000	15.00000000	15.00000000	15.00000000	15.00000000
20.00000000	16.73621371	15.58757181	15.19691164	15.06576516	15.02193899	15.00731591	15.00243929	15.00081328	15.00027115	15.00009040
25.00000000	19.73901473	17.03262809	15.82069571	15.31941807	15.12141833	15.04540125	15.01676895	15.00613375	15.00222586	15.00080238
30.00000000	23.63563564	19.41613901	17.07138662	15.91552918	15.38858017	15.16025612	15.06468283	15.02566636	15.01004289	15.00388348
35.00000000	28.12879493	22.68782811	19.08707298	17.01684612	15.94266719	15.42363021	15.18487211	15.07884478	15.03299963	15.01359402
40.00000000	32.99370589	26.71166002	21.92346997	18.76839879	16.92175930	15.93318316	15.43680001	15.19873043	15.08836791	15.03854629
45.00000000	38.07178478	31.31189162	25.54901680	21.27003611	18.46625427	16.80880295	15.90307365	15.43582316	15.20474559	15.09407675
50.00000000	43.25885844	36.31260712	29.85989091	24.55439358	20.69559724	18.18292024	16.68927299	15.86138560	15.42571339	15.20515184
55.00000000	48.49125194	41.56336015	34.70962165	28.57984913	23.68269848	20.18294306	17.91898300	16.56926903	15.81354915	15.40980233
60.00000000	53.73297167	46.94990866	39.94162954	33.24231275	27.43527811	22.90731499	19.72142428	17.67420435	16.45221730	15.76294726
65.00000000	58.96558059	52.39387985	45.41452413	38.40062999	31.89269094	26.40192847	22.21102699	19.30374754	17.44792236	16.34005257
63.75000000	61.20326240	56.44638296	50.37010708	43.61494967	36.81360246	30.59352550	25.44165857	21.57376154	18.92154357	17.23820023
62.50000000	61.81078425	58.93556361	54.27764511	48.36280329	41.79794140	35.25110759	29.35243676	24.54502885	20.98612695	18.56974500
61.25000000	61.54834754	60.15279339	56.98460517	52.26450964	46.41722723	40.02408952	33.74451155	28.17704676	23.70900207	20.44333620
60.00000000	60.82565596	60.46653735	58.59791681	55.16268280	50.34335210	44.53761799	38.31336082	32.30713598	27.07096695	22.93167695
58.75000000	59.86022365	60.18414993	59.33465701	57.08515196	53.40735746	48.48757826	42.72316398	36.67326781	30.94441789	26.03506877
57.50000000	58.76682403	59.52565982	59.42338249	58.16666934	55.58824667	51.69236831	46.68492192	40.97285549	35.10675378	29.65813376
56.25000000	57.60592498	58.63669383	59.05847506	58.57970602	56.96587145	54.09501765	50.00576279	44.92974089	39.28621332	33.61488370
55.00000000	56.40941304	57.60929185	58.38797785	58.49094972	57.66990111	55.73376569	52.60001972	48.34232617	43.21984068	37.66328165
53.75000000	55.19414254	56.49995424	57.51732690	58.04103002	57.84130836	56.70323940	54.47188842	51.10141758	46.70040961	41.55497465
52.50000000	53.96905190	55.34270414	56.51836071	57.33929346	57.60968019	57.12078720	55.68575382	53.18217945	49.59948658	45.08042079
51.25000000	52.73890187	54.15776586	55.43854441	56.46627542	57.08321182	57.10348183	56.33693351	54.62198042	51.86701653	48.09583209
50.00000000	51.50624245	52.95705810	54.30855558	55.47907009	56.34673100	56.75545769	56.52927835	55.49525449	53.51575199	50.52918099
48.75000000	50.27245039	51.74756781	53.14790547	54.41703978	55.46387302	56.16286705	56.36101254	55.89219342	54.60009867	52.37059610
47.50000000	49.03827823	50.53338162	51.96885925	53.30676092	54.48085459	55.39350629	55.91751081	55.90380007	55.19625443	53.65515866
46.25000000	47.80414574	49.31689255	50.77906451	52.16589549	53.43043118	54.49881711	55.26888309	55.61308528	55.38697681	54.44479458
45.00000000	46.57029528	48.09951019	49.58326668	51.00604233	52.33538550	53.51677331	54.47040442	55.09099324	55.25163652	54.81315942
43.75000000	45.33687497	46.88207575	48.38440682	49.83475360	51.21133511	52.47481823	53.56434496	54.39544437	54.86077901	54.83489924
42.50000000	44.10398342	45.66510377	47.18431415	48.65692049	50.06886788	51.39245867	52.58227998	53.57215557	54.27393743	54.57909032
41.25000000	42.87169407	44.44892241	45.98413824	47.47570554	48.91510460	50.28338157	51.54736614	52.65629278	53.53949792	54.10595735
40.00000000	41.64006845	43.23375486	44.78461655	46.29315972	47.75481103	49.15709582	50.47634156	51.67436691	52.69568681	53.46583763
38.75000000	40.40916370	42.01976674	43.58623907	45.11062600	46.59117272	48.02016140	49.38116821	50.64604836	51.77204727	52.69950509
37.50000000	39.17903686	40.80709379	42.38934935	43.92900066	45.42632631	46.87708594	48.27032170	49.58574917	50.79101915	51.83920195
36.25000000	37.94974756	39.59585826	41.19420644	42.74890125	44.26171903	45.73096553	47.14977227	48.50392554	49.76941372	50.90994754
35.00000000	36.72135989	38.38617887	40.00102291	41.57077418	43.09834967	44.58393589	46.02371323	47.40810874	48.71968896	49.93086795
33.75000000	35.49394383	37.17817716	38.80998850	40.39496332	41.93692887	43.43748593	44.89509187	46.30369813	47.65099994	48.91641112
32.50000000	34.26757652	35.97198174	37.62128502	39.22175395	40.77798513	42.29267356	43.76599092	45.19455809	46.57003445	47.87738963
31.25000000	33.04234361	34.76773158	36.43509608	38.05140101	39.62193472	41.15027319	42.63789927	44.08345971	45.48166124	46.82183878
30.00000000	31.81834070	33.56557874	35.25161383	36.88414759	38.46912795	40.01087588	41.51190240	42.97240320	44.38942313	45.75570192
28.75000000	30.59567497	32.36569105	34.07104402	35.72023735	37.31987977	38.87495731	40.38881534	41.86285082	43.29590630	44.68336533
27.50000000	29.37446710	31.16825482	32.89361017	34.55992326	36.17449045	37.74292375	39.26927502	40.75589344	42.20301342	43.60806862
26.25000000	28.15485364	29.97347796	31.71955745	33.40347420	35.03325982	36.61514347	38.15380427	39.65236907	41.11216372	42.53221507
